Runs,Day 1,,Day 7,,Day 14,,Day 21,,Day 28,,Day 35,
,PH ,Temp,PH ,Temp,PH ,Temp,PH ,Temp,PH ,Temp,PH ,Temp
1,6.83,30.4,6.91,33,5.4,31.6,5.3,,,,,
2,7.27,30.4,6.98,34,5.6,31.6,,,,,,
3,6.85,30.5,6.61,34.5,5.8,31,,,,,,
4,6.95,30.4,6.65,34.1,5.5,31.4,,,,,,
5,6.93,30.4,6.1,34.1,4.9,31.5,5,,,,,
6,6.9,30.7,6.1,34.2,5.6,31.6,,,,,,
7,7.1,30.4,6.82,34.4,5,30.9,4.6,,,,,
8,7.23,30.6,6.91,32.6,5.7,30,5,,,,,
9,7,30.3,6.7,33.6,5.3,30.3,4.8,,,,,
10,6.94,30.1,6.35,33.8,5.6,30.2,4.9,,,,,
11,6.93,30.4,6.3,34.4,5.4,31.4,4.9,,,,,
12,6.9,30.1,6.1,34.1,5.9,31.4,5.3,,,,,
13,6.89,30.1,6.1,34.2,5.4,32,4.9,,,,,
14,6.85,30.1,6,34.6,5.6,31.6,5,,,,,
15,6.87,30,6.2,34.6,5.5,31.7,5,,,,,
16,6.81,30,6.1,34.3,5.8,31.4,5.3,,,,,
17,6.92,30.4,6.34,33.6,5.2,30.8,4.7,,,,,
18,6.98,30.7,6.36,33.9,5.9,30.6,5.3,,,,,
19,7.1,30.9,6.48,34,5.7,30.3,4.9,,,,,
20,7.18,30.6,6.49,33.8,5.7,30.1,4.7,,,,,
21,6.9,30,6.3,33,5.3,30,4.6,,,,,
22,6.95,30,6.32,33.3,5.8,31,5.4,,,,,
23,6.95,30.6,6.32,33.8,5.6,31.3,5,,,,,
24,6.98,30.4,6.33,34,5,31.1,4.3,,,,,
25,7,30.4,6.41,34,5,31.6,4.2,,,,,
26,7.19,30.3,6.5,34.1,5.1,31.5,4.2,,,,,
27,6.98,30.2,6.32,34.2,5.4,31,4.5,,,,,
28,7.22,30.6,6.61,34.6,5.8,31,5.1,,,,,
29,6.9,30.9,6.3,34.4,5.6,31.7,4.8,,,,,
30,6.98,30.3,6.32,33.3,5.4,31,4.9,,,,,
